time,spo2_pct,pulse_bpm
2025-11-06T00:06:00Z,98.0,75.0
2025-11-06T03:33:00Z,99.0,121.0
2025-11-06T06:11:00Z,98.0,107.0
2025-11-06T07:22:00Z,97.0,91.0
2025-11-06T08:15:00Z,98.0,89.0
2025-11-06T10:45:00Z,97.0,98.0
2025-11-06T17:20:00Z,100.0,83.0
2025-11-06T18:35:00Z,98.0,90.0
2025-11-06T19:05:00Z,97.0,71.0
2025-11-06T19:36:00Z,98.0,69.0
2025-11-06T20:53:00Z,100.0,66.0
2025-11-06T21:28:00Z,98.0,79.0
2025-11-06T22:29:00Z,100.0,61.0
2025-11-06T22:59:00Z,97.0,86.0
2025-11-07T00:10:00Z,99.0,96.0
2025-11-07T08:11:00Z,99.0,93.0
2025-11-07T10:08:00Z,99.0,97.0
2025-11-07T11:08:00Z,99.5,85.0
2025-11-07T12:48:00Z,98.0,79.0
2025-11-07T14:08:00Z,98.5,84.5
2025-11-07T15:21:00Z,98.5,87.5
2025-11-07T16:44:00Z,99.0,82.0
2025-11-07T17:14:00Z,99.0,84.0
2025-11-07T18:47:00Z,98.0,84.0
2025-11-07T21:25:00Z,99.0,78.0
2025-11-07T23:22:00Z,98.0,81.0
2025-11-08T00:22:00Z,99.0,75.0
2025-11-08T01:07:00Z,99.0,83.0
2025-11-08T17:27:00Z,98.0,87.0
2025-11-08T20:38:00Z,100.0,83.0
2025-11-08T21:13:00Z,100.0,78.0
2025-11-08T21:44:00Z,100.0,82.0
2025-11-09T09:38:00Z,98.0,96.0
2025-11-09T10:09:00Z,96.0,95.0
2025-11-09T11:09:00Z,99.0,99.0
2025-11-09T13:20:00Z,98.0,81.0
2025-11-09T14:16:00Z,99.5,88.5
2025-11-09T15:18:00Z,98.5,91.0
2025-11-09T16:18:00Z,100.0,80.0
2025-11-09T18:33:00Z,96.0,83.0
2025-11-09T20:01:00Z,98.0,77.5
2025-11-09T21:18:00Z,98.5,82.0
2025-11-09T22:56:00Z,100.0,77.0
2025-11-10T00:31:00Z,99.0,87.0
2025-11-10T01:05:00Z,99.0,97.0
2025-11-10T02:58:00Z,98.0,116.0
